email_id,labels
420,1
421,0
422,0
423,0
424,0
425,0
426,1
427,0
428,0
429,0
430,0
431,0
432,1
433,0
434,0
435,1
436,0
437,0
438,0
439,0
440,1
441,0
442,1
443,0
444,1
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,1
456,0
457,0
458,1
459,1
460,0
461,0
462,0
463,0
464,0
465,1
466,0
467,0
468,0
469,0
470,0
471,1
472,0
473,1
474,0
475,0
476,1
477,0
478,0
479,0
480,1
481,1
482,1
483,0
484,1
485,0
486,0
487,0
488,1
489,0
490,0
491,1
492,0
493,0
494,0
495,0
496,1
497,0
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,1
511,0
512,0
513,0
514,0
515,0
516,1
517,0
518,0
519,1
520,0
521,0
522,1
523,0
524,0
525,0
526,0
527,1
528,0
529,1
530,1
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,1
539,0
540,0
541,0
542,1
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,1
551,0
552,0
553,1
554,0
555,0
556,1
557,0
558,1
559,1
560,0
561,0
562,0
563,0
564,0
565,1
566,0
567,0
568,1
569,0
570,1
571,0
572,1
573,0
574,0
575,0
576,0
577,1
578,0
579,0
580,0
581,1
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,1
590,0
591,1
592,1
593,0
594,1
595,0
596,1
597,0
598,0
599,0
600,1
601,0
602,1
603,1
604,0
605,0
606,1
607,0
608,0
609,0
610,0
611,1
612,0
613,0
614,0
615,1
616,1
617,0
618,1
619,0
620,0
621,0
622,1
623,1
624,1
625,1
626,0
627,0
628,1
629,0
630,0
631,1
632,1
633,0
634,0
635,0
636,0
637,1
638,1
639,0
640,0
641,0
642,1
643,1
644,0
645,0
646,0
647,0
648,1
649,1
650,0
651,0
652,0
653,1
654,1
655,1
656,1
657,0
658,0
659,1
660,0
661,1
662,0
663,0
664,0
665,0
666,0
667,1
668,1
669,1
670,0
671,1
672,1
673,1
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,1
686,0
687,1
688,1
689,0
690,0
691,0
692,1
693,0
694,0
695,0
696,0
697,0
698,1
699,1
700,0
701,0
702,0
703,0
704,1
705,0
706,1
707,0
708,0
709,1
710,0
711,0
712,0
713,0
714,0
715,0
716,1
717,0
718,1
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,1
730,1
731,0
732,0
733,0
734,1
735,0
736,0
737,0
738,1
739,0
740,0
741,1
742,0
743,1
744,0
745,0
746,1
747,1
748,0
749,1
750,0
751,0
752,0
753,0
754,0
755,1
756,1
757,1
758,0
759,1
760,0
761,0
762,0
763,0
764,0
765,0
766,1
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,1
779,1
780,0
781,1
782,0
783,1
784,1
785,0
786,1
787,1
788,0
789,1
790,0
791,1
792,1
793,0
794,1
795,1
796,0
797,0
798,0
799,1
800,1
